"","Provider.State","County","WeeksofShortage_of_EP_by_County","WeeksofShortage_of_GL_by_County","WeeksofShortage_of_HS_by_County","WeeksofShortage_of_N95_by_County","WeeksofShortage_of_SM_by_County","WeeksofShortage_of_VT_by_County"
"109","CA","Placer",1,20,1,5,1,NA
"110","CA","Riverside",158,163,148,208,131,1
"111","CA","Sacramento",79,66,53,77,55,3
"112","CA","San Bernardino",91,74,117,120,82,7
"113","CA","San Diego",78,103,61,154,67,4
"114","CA","San Francisco",54,46,15,63,32,4
"115","CA","San Joaquin",104,175,145,137,118,NA
"116","CA","San Mateo",16,5,13,66,6,1
"117","CA","Santa Barbara",11,6,19,19,3,NA
"118","CA","Santa Clara",66,84,88,143,60,5
"119","CA","Santa Cruz",2,3,2,5,3,1
"120","CA","Shasta",3,2,3,37,1,NA
"121","CA","Solano",64,30,27,65,29,NA
"122","CA","Sonoma",28,18,32,86,21,1
"123","CA","Stanislaus",21,36,16,49,20,NA
"124","CA","Sutter",3,NA,NA,3,NA,NA
"125","CA","Tulare",26,13,8,27,24,2
"126","CA","Ventura",11,9,11,15,11,4
"127","CA","Yolo",42,42,42,42,42,NA
"128","CO","Adams",52,35,31,106,53,NA
"129","CO","Alamosa",2,2,14,24,7,NA
"130","CO","Arapahoe",19,5,31,59,27,NA
"131","CO","Baca",1,1,1,1,1,NA
"132","CO","Bent",4,NA,NA,2,NA,NA
"133","CO","Boulder",76,16,34,115,79,NA
"134","CO","Delta",8,NA,NA,15,2,NA
"135","CO","Denver",82,57,48,123,104,NA
"136","CO","El Paso",92,52,43,163,93,3
"137","CO","Fremont",35,7,6,57,42,NA
"138","CO","Garfield",5,5,5,5,5,NA
"139","CO","Gunnison",1,1,1,1,1,NA
"140","CO","Jefferson",96,43,38,197,114,NA
"141","CO","Kit Carson",1,NA,1,1,NA,NA
"142","CO","La Plata",3,3,3,3,3,NA
"143","CO","Larimer",34,14,14,54,40,NA
"144","CO","Logan",3,8,3,4,3,NA
"145","CO","Mesa",50,4,5,84,57,NA
"146","CO","Montrose",30,29,29,35,30,NA
"147","CO","Morgan",3,4,4,48,42,NA
"148","CO","Otero",2,NA,2,21,2,NA
"149","CO","Phillips",2,3,1,1,1,NA
"150","CO","Prowers",1,NA,NA,NA,NA,NA
