"","Provider.State","County","WeeksofShortage_of_EP_by_County","WeeksofShortage_of_GL_by_County","WeeksofShortage_of_HS_by_County","WeeksofShortage_of_N95_by_County","WeeksofShortage_of_SM_by_County","WeeksofShortage_of_VT_by_County"
"544","KS","Harvey",2,15,1,39,3,NA
"545","KS","Jefferson",13,15,13,16,13,NA
"546","KS","Johnson",76,40,45,162,67,NA
"547","KS","Kearny",3,3,3,3,3,NA
"548","KS","Kingman",6,8,9,11,12,NA
"549","KS","Kiowa",18,18,18,24,18,NA
"550","KS","Labette",31,32,29,58,33,NA
"551","KS","Leavenworth",13,29,11,21,19,NA
"552","KS","Lyon",2,12,7,20,5,NA
"553","KS","Marion",36,50,44,51,40,NA
"554","KS","Marshall",2,NA,NA,7,NA,NA
"555","KS","McPherson",39,36,36,59,37,NA
"556","KS","Meade",41,39,40,32,16,NA
"557","KS","Miami",6,4,4,20,12,NA
"558","KS","Mitchell",2,2,2,2,2,NA
"559","KS","Montgomery",10,5,7,38,18,NA
"560","KS","Morton",16,NA,1,20,3,NA
"561","KS","Nemaha",11,4,2,21,12,NA
"562","KS","Neosho",7,4,2,5,2,NA
"563","KS","Norton",6,NA,NA,1,2,NA
"564","KS","Osborne",12,NA,NA,15,11,NA
"565","KS","Phillips",3,1,NA,29,NA,NA
"566","KS","Pottawatomie",12,13,14,35,22,NA
"567","KS","Pratt",10,14,10,14,13,NA
"568","KS","Rawlins",1,4,1,1,2,NA
"569","KS","Reno",20,14,16,41,18,NA
"570","KS","Rice",1,1,NA,10,NA,NA
"571","KS","Sedgwick",117,115,90,241,144,NA
"572","KS","Shawnee",56,50,54,85,67,NA
"573","KS","Sheridan",1,1,1,1,1,NA
"574","KS","Sherman",3,3,3,3,3,NA
"575","KS","Smith",43,42,42,42,44,NA
"576","KS","Stafford",1,1,1,1,1,NA
"577","KS","Stanton",1,NA,NA,NA,NA,NA
"578","KS","Stevens",1,1,1,1,1,NA
"579","KS","Sumner",50,3,2,55,54,NA
"580","KS","Thomas",7,9,10,10,12,NA
"581","KS","Wabaunsee",2,1,1,1,1,NA
"582","KS","Washington",8,4,3,7,7,NA
"583","KS","Wilson",20,20,20,20,20,NA
"584","KS","Wyandotte",36,16,10,50,39,NA
"585","KY","Barren",8,9,6,14,6,NA
"586","KY","Boone",20,9,3,24,20,NA
"587","KY","Bourbon",2,NA,1,NA,NA,NA
"588","KY","Boyle",3,3,1,12,4,NA
"589","KY","Bracken",1,NA,NA,3,NA,NA
"590","KY","Breathitt",25,25,26,34,25,NA
"591","KY","Calloway",3,1,NA,18,3,NA
"592","KY","Campbell",3,20,4,4,6,NA
"593","KY","Carlisle",1,2,1,6,1,NA
"594","KY","Christian",2,NA,NA,1,1,NA
"595","KY","Cumberland",1,1,1,1,1,NA
"596","KY","Daviess",21,1,1,22,21,NA
"597","KY","Edmonson",20,NA,NA,21,20,NA
"598","KY","Estill",1,1,1,1,1,NA
"599","KY","Fayette",21,23,14,38,21,NA
"600","KY","Fleming",1,NA,NA,NA,NA,NA
"601","KY","Floyd",5,4,3,3,3,NA
"602","KY","Franklin",21,1,NA,26,20,NA
"603","KY","Garrard",1,1,1,1,1,NA
"604","KY","Grant",20,1,NA,24,20,NA
"605","KY","Graves",1,1,1,15,1,NA
"606","KY","Grayson",1,NA,NA,14,NA,NA
"607","KY","Greenup",2,2,2,3,2,NA
"608","KY","Hancock",20,1,1,25,20,NA
"609","KY","Hardin",21,1,1,24,21,NA
"610","KY","Hopkins",24,3,3,28,23,NA
"611","KY","Jefferson",149,47,16,350,147,NA
"612","KY","Johnson",4,NA,NA,1,NA,NA
"613","KY","Kenton",1,9,NA,44,NA,NA
"614","KY","Larue",1,1,1,NA,1,NA
"615","KY","Laurel",12,NA,1,12,12,NA
"616","KY","Madison",1,1,1,4,17,NA
"617","KY","Marion",1,1,1,1,1,NA
"618","KY","Marshall",1,1,2,20,1,NA
"619","KY","Meade",2,2,2,2,3,NA
"620","KY","Mercer",2,2,2,2,2,NA
"621","KY","Monroe",2,2,2,2,3,NA
"622","KY","Ohio",4,NA,NA,NA,24,NA
"623","KY","Oldham",1,1,1,1,1,NA
"624","KY","Owen",20,NA,NA,24,20,NA
"625","KY","Owsley",24,2,NA,NA,NA,NA
"626","KY","Perry",4,2,3,3,9,NA
"627","KY","Pike",2,5,2,3,3,NA
"628","KY","Powell",1,1,1,1,1,NA
"629","KY","Pulaski",1,NA,NA,17,8,NA
"630","KY","Shelby",20,NA,NA,28,20,NA
"631","KY","Taylor",33,32,33,52,37,NA
"632","KY","Warren",60,2,NA,76,60,NA
"633","KY","Washington",18,4,NA,23,17,NA
"634","KY","Wayne",1,1,1,1,1,NA
"635","KY","Whitley",3,2,2,17,3,NA
"636","LA","Ascension",8,14,15,20,23,NA
"637","LA","Avoyelles",5,4,4,40,7,NA
"638","LA","Bienville",6,21,6,64,6,NA
"639","LA","Bossier",2,NA,2,NA,12,NA
"640","LA","Caddo",15,15,16,49,24,NA
"641","LA","Calcasieu",57,54,54,64,52,NA
"642","LA","Caldwell",2,2,3,3,2,NA
"643","LA","Concordia",2,4,2,15,2,NA
"644","LA","De Soto",1,1,1,5,1,NA
"645","LA","East Baton Rouge",7,18,12,29,12,NA
"646","LA","East Carroll",2,1,1,1,1,NA
"647","LA","East Feliciana",9,6,NA,22,NA,NA
"648","LA","Grant",1,3,4,2,3,NA
"649","LA","Iberia",6,6,6,41,6,NA
"650","LA","Iberville",1,3,NA,29,1,1
"651","LA","Jackson",3,3,3,12,3,NA
"652","LA","Jefferson",7,4,6,74,11,NA
"653","LA","Lafayette",4,14,4,28,18,NA
"654","LA","Lafourche",3,1,3,63,7,NA
"655","LA","LaSalle",9,9,9,23,9,9
"656","LA","Morehouse",10,3,4,45,8,NA
"657","LA","Ouachita",7,1,3,13,2,NA
"658","LA","Rapides",2,6,2,43,5,NA
"659","LA","Red River",3,2,2,2,2,NA
"660","LA","Sabine",3,3,3,8,3,NA
"661","LA","St. Charles",2,9,16,33,1,NA
"662","LA","St. John the Baptist",3,3,3,31,3,NA
"663","LA","St. Martin",2,2,2,2,2,NA
"664","LA","St. Tammany",1,3,2,3,2,NA
"665","LA","Tangipahoa",1,1,NA,NA,NA,NA
"666","LA","Terrebonne",3,2,3,20,2,NA
"667","LA","Union",10,7,6,48,11,NA
"668","LA","Vermilion",2,1,1,79,2,NA
"669","LA","Vernon",1,1,1,1,1,NA
"670","LA","Webster",1,NA,1,3,1,NA
"671","LA","Winn",13,4,3,12,8,NA
"672","MA","Bristol",54,4,15,94,62,NA
"673","MA","Essex",163,12,32,217,163,NA
"674","MA","Franklin",4,NA,NA,4,4,NA
"675","MA","Hampden",144,20,21,180,144,NA
"676","MA","Hampshire",22,1,1,30,21,NA
"677","MA","Middlesex",199,68,61,290,197,10
"678","MA","Norfolk",40,5,6,68,39,NA
"679","MA","Plymouth",82,5,20,108,80,NA
"680","MA","Suffolk",21,2,1,50,34,1
"681","MA","Worcester",147,81,80,228,150,1
"682","MD","Allegany",56,44,89,21,21,NA
"683","MD","Anne Arundel",118,68,48,136,124,NA
"684","MD","Baltimore",355,182,314,369,361,NA
"685","MD","Baltimore City",110,83,115,105,152,NA
"686","MD","Calvert",6,6,7,12,10,NA
"687","MD","Caroline",14,13,2,14,25,NA
"688","MD","Carroll",67,45,70,68,66,NA
"689","MD","Cecil",24,46,53,26,52,NA
"690","MD","Charles",46,6,6,48,46,NA
"691","MD","Dorchester",16,NA,NA,16,16,NA
"692","MD","Frederick",54,15,30,72,56,NA
"693","MD","Garrett",12,12,12,12,14,NA
"694","MD","Harford",42,20,28,32,42,NA
"695","MD","Howard",51,60,51,36,80,NA
"696","MD","Kent",6,8,6,6,8,NA
"697","MD","Montgomery",156,152,217,129,180,NA
"698","MD","Prince George's",103,78,98,145,137,NA
"699","MD","Queen Anne's",20,NA,NA,28,20,NA
"700","MD","Somerset",14,11,11,24,25,NA
"701","MD","St. Mary's",1,1,1,1,1,NA
"702","MD","Talbot",10,6,9,11,11,NA
"703","MD","Washington",15,15,49,19,37,NA
"704","MD","Wicomico",26,8,6,34,35,NA
"705","MD","Worcester",9,9,13,9,9,NA
"706","ME","Androscoggin",43,3,5,62,47,NA
"707","ME","Aroostook",34,32,6,108,45,NA
"708","ME","Cumberland",168,54,66,297,199,NA
"709","ME","Franklin",35,18,11,82,38,NA
"710","ME","Hancock",35,24,8,43,26,NA
"711","ME","Kennebec",36,3,31,102,27,NA
"712","ME","Knox",21,1,1,23,21,NA
"713","ME","Lincoln",6,3,2,48,8,NA
"714","ME","Oxford",24,1,NA,64,7,NA
"715","ME","Penobscot",201,NA,4,59,140,NA
"716","ME","Piscataquis",18,NA,NA,13,18,NA
"717","ME","Somerset",66,25,1,115,112,NA
"718","ME","Waldo",36,27,28,59,50,NA
"719","ME","Washington",7,NA,1,29,9,NA
"720","ME","York",80,36,39,148,119,NA
"721","MI","Alcona",14,20,20,NA,13,NA
"722","MI","Alger",13,NA,20,17,17,NA
"723","MI","Allegan",6,6,6,13,6,NA
"724","MI","Alpena",26,26,26,43,42,NA
"725","MI","Arenac",1,1,1,2,2,NA
"726","MI","Baraga",1,NA,NA,NA,NA,NA
"727","MI","Barry",26,1,6,5,10,NA
"728","MI","Bay",16,18,14,14,14,NA
"729","MI","Berrien",11,16,18,35,8,NA
"730","MI","Calhoun",2,3,2,1,2,NA
"731","MI","Cass",7,6,NA,9,10,NA
"732","MI","Cheboygan",1,1,1,19,19,NA
"733","MI","Chippewa",19,19,19,19,20,NA
"734","MI","Clinton",2,NA,NA,18,1,NA
"735","MI","Crawford",1,1,1,8,1,NA
"736","MI","Dickinson",28,NA,2,28,26,NA
"737","MI","Emmet",49,NA,2,51,17,NA
"738","MI","Genesee",34,16,30,104,50,2
"739","MI","Grand Traverse",3,5,7,5,5,NA
"740","MI","Gratiot",20,NA,1,39,NA,12
"741","MI","Hillsdale",1,NA,NA,NA,NA,NA
"742","MI","Ingham",34,28,55,45,31,20
"743","MI","Iosco",5,3,3,45,3,NA
"744","MI","Isabella",28,26,26,34,26,NA
"745","MI","Kalamazoo",17,27,6,29,14,NA
"746","MI","Kent",1,3,NA,63,42,NA
"747","MI","Leelanau",2,2,2,2,2,NA
"748","MI","Lenawee",4,NA,5,11,10,1
"749","MI","Livingston",4,4,4,6,4,NA
"750","MI","Macomb",106,88,116,198,122,NA
"751","MI","Marquette",4,NA,NA,4,4,NA
"752","MI","Mason",1,3,1,17,17,NA
"753","MI","Menominee",22,2,1,15,2,NA
"754","MI","Monroe",18,3,2,43,16,NA
"755","MI","Montmorency",1,1,1,20,21,NA
"756","MI","Muskegon",1,NA,1,8,1,NA
"757","MI","Oakland",126,56,79,268,174,25
"758","MI","Ogemaw",19,NA,NA,26,NA,NA
"759","MI","Osceola",1,1,1,1,1,NA
"760","MI","Otsego",18,23,19,35,20,1
"761","MI","Ottawa",26,1,NA,63,44,NA
"762","MI","Saginaw",9,29,7,24,7,6
"763","MI","Sanilac",1,NA,NA,45,7,NA
"764","MI","St. Clair",22,22,20,58,24,NA
"765","MI","St. Joseph",12,1,1,18,1,NA
"766","MI","Van Buren",7,6,NA,1,1,NA
"767","MI","Washtenaw",36,4,3,64,37,NA
"768","MI","Wayne",247,143,169,460,274,4
"769","MI","Wexford",3,NA,NA,5,NA,NA
"770","MN","Aitkin",4,6,4,16,14,NA
"771","MN","Anoka",3,10,15,35,24,NA
"772","MN","Becker",72,40,43,93,79,1
"773","MN","Beltrami",1,2,4,1,1,NA
"774","MN","Benton",18,17,11,22,20,NA
"775","MN","Blue Earth",13,3,3,11,41,NA
"776","MN","Brown",8,4,NA,6,NA,NA
"777","MN","Carlton",1,1,1,1,1,NA
"778","MN","Cass",2,3,1,10,1,NA
"779","MN","Chippewa",2,16,2,22,2,NA
"780","MN","Chisago",31,12,18,101,50,NA
"781","MN","Clay",2,2,2,21,4,NA
"782","MN","Crow Wing",5,20,2,9,13,NA
"783","MN","Dakota",13,26,10,14,8,NA
"784","MN","Dodge",1,1,1,9,1,NA
"785","MN","Douglas",3,16,1,26,2,NA
"786","MN","Fillmore",1,1,1,14,4,NA
"787","MN","Freeborn",2,1,2,2,5,NA
"788","MN","Goodhue",52,49,51,68,50,NA
"789","MN","Grant",1,1,NA,1,1,NA
"790","MN","Hennepin",159,170,151,542,325,NA
"791","MN","Houston",11,12,10,14,14,NA
"792","MN","Hubbard",26,27,26,38,26,NA
"793","MN","Itasca",30,24,11,26,38,18
"794","MN","Jackson",1,5,NA,7,2,NA
"795","MN","Kanabec",1,1,1,1,1,NA
"796","MN","Kittson",1,NA,NA,NA,NA,NA
"797","MN","Koochiching",1,2,1,1,1,NA
"798","MN","Le Sueur",2,2,2,3,3,NA
"799","MN","Lyon",22,22,22,22,22,NA
"800","MN","Martin",2,NA,NA,37,NA,NA
"801","MN","McLeod",17,9,25,45,30,NA
"802","MN","Mille Lacs",4,17,NA,2,NA,NA
"803","MN","Morrison",1,41,8,4,49,NA
"804","MN","Mower",7,6,10,9,46,NA
"805","MN","Murray",7,4,NA,6,4,NA
"806","MN","Norman",7,1,1,20,1,NA
"807","MN","Olmsted",16,13,23,24,41,NA
"808","MN","Otter Tail",6,9,6,6,6,NA
"809","MN","Pennington",1,NA,1,NA,NA,NA
"810","MN","Pipestone",2,1,1,9,1,NA
"811","MN","Polk",5,5,5,9,16,NA
"812","MN","Ramsey",114,152,183,371,200,1
"813","MN","Redwood",5,9,NA,29,7,NA
"814","MN","Renville",4,7,3,8,2,NA
"815","MN","Rice",16,16,16,23,19,6
"816","MN","Scott",10,NA,20,15,23,NA
"817","MN","Sibley",11,13,3,2,31,NA
"818","MN","St. Louis",45,42,27,96,63,NA
"819","MN","Stearns",9,13,13,14,15,NA
"820","MN","Swift",1,1,1,1,1,2
"821","MN","Todd",1,1,1,1,1,NA
"822","MN","Wabasha",3,3,3,3,3,NA
"823","MN","Wadena",1,1,NA,4,NA,NA
"824","MN","Washington",84,53,47,185,135,NA
"825","MN","Winona",6,6,2,7,6,NA
"826","MN","Wright",2,5,2,10,3,NA
"827","MN","Yellow Medicine",1,1,2,1,1,NA
"828","MO","Adair",9,14,NA,44,41,NA
"829","MO","Andrew",7,NA,4,7,7,NA
"830","MO","Barry",4,4,6,6,8,NA
"831","MO","Benton",1,1,1,32,16,NA
"832","MO","Boone",11,7,6,23,18,NA
"833","MO","Buchanan",11,3,7,13,11,NA
"834","MO","Callaway",3,16,6,6,4,NA
"835","MO","Camden",3,2,1,34,1,NA
"836","MO","Cape Girardeau",1,1,2,2,3,NA
"837","MO","Cass",5,2,1,10,3,NA
"838","MO","Chariton",2,7,3,10,6,NA
"839","MO","Clay",2,12,1,7,2,NA
"840","MO","Clinton",1,1,1,4,2,NA
"841","MO","Cole",14,6,5,28,28,NA
"842","MO","Cooper",7,NA,3,7,7,NA
"843","MO","Crawford",10,18,4,12,9,NA
"844","MO","Dade",5,NA,NA,13,NA,NA
"845","MO","Daviess",12,8,NA,9,13,NA
"846","MO","Dent",1,4,1,1,1,NA
"847","MO","Dunklin",2,5,3,2,4,NA
"848","MO","Franklin",5,4,5,9,6,NA
"849","MO","Greene",18,15,10,53,33,NA
"850","MO","Holt",2,2,2,2,2,NA
"851","MO","Howell",3,1,2,19,1,NA
"852","MO","Iron",1,2,2,3,2,NA
"853","MO","Jackson",103,101,86,225,107,1
"854","MO","Jasper",31,1,3,96,28,NA
"855","MO","Jefferson",2,3,2,4,2,NA
"856","MO","Johnson",10,2,9,9,10,NA
"857","MO","Laclede",19,11,30,40,38,NA
"858","MO","Lafayette",1,1,1,1,1,NA
"859","MO","Lawrence",1,1,6,1,1,NA
"860","MO","Lincoln",19,34,41,41,21,NA
"861","MO","Livingston",1,NA,NA,NA,1,NA
"862","MO","Maries",1,1,1,37,1,NA
"863","MO","Mercer",1,23,27,5,1,NA
"864","MO","Miller",2,3,5,3,2,NA
"865","MO","Mississippi",2,27,NA,12,7,NA
"866","MO","Monroe",2,1,1,8,2,NA
"867","MO","Morgan",3,3,3,17,3,NA
"868","MO","New Madrid",5,2,2,29,4,NA
"869","MO","Newton",7,6,4,29,27,NA
"870","MO","Nodaway",7,NA,5,7,7,NA
"871","MO","Oregon",1,NA,NA,NA,NA,NA
"872","MO","Osage",9,9,9,9,9,NA
"873","MO","Pemiscot",3,8,7,4,7,NA
"874","MO","Pettis",7,3,2,5,5,NA
"875","MO","Phelps",7,4,2,27,9,NA
"876","MO","Pike",3,4,2,3,1,NA
"877","MO","Platte",11,11,12,12,11,NA
"878","MO","Polk",1,NA,NA,3,1,NA
"879","MO","Ralls",1,NA,1,1,NA,NA
"880","MO","Randolph",39,8,7,40,13,NA
"881","MO","Ray",2,NA,NA,6,NA,NA
"882","MO","Ripley",1,NA,NA,3,NA,NA
"883","MO","Schuyler",1,1,1,1,1,NA
"884","MO","Shelby",4,1,NA,17,NA,NA
"885","MO","St. Charles",14,6,17,24,25,NA
"886","MO","St. Francois",1,2,1,8,NA,NA
"887","MO","St. Louis",68,49,45,191,88,NA
"888","MO","St. Louis City",2,NA,NA,54,12,NA
"889","MO","Stoddard",2,6,2,3,2,NA
"890","MO","Taney",1,1,1,10,1,NA
"891","MO","Texas",1,NA,1,NA,1,NA
"892","MO","Vernon",8,7,1,50,22,NA
"893","MS","Adams",42,46,41,41,41,NA
"894","MS","Amite",2,2,2,6,3,NA
"895","MS","Attala",1,1,1,1,1,NA
"896","MS","Bolivar",46,43,22,56,42,NA
"897","MS","Carroll",2,2,3,3,3,NA
"898","MS","Choctaw",1,1,1,2,3,NA
"899","MS","Claiborne",11,9,9,10,9,NA
"900","MS","Covington",4,6,4,4,4,NA
"901","MS","Harrison",16,6,4,50,28,NA
"902","MS","Hinds",62,80,62,125,61,NA
"903","MS","Itawamba",1,3,NA,3,3,NA
"904","MS","Jackson",84,65,64,86,81,NA
"905","MS","Jefferson",2,2,3,2,2,NA
"906","MS","Jones",44,73,37,44,42,NA
"907","MS","Lauderdale",4,11,5,3,4,NA
"908","MS","Lawrence",1,NA,NA,NA,NA,NA
"909","MS","Lee",5,4,4,18,3,NA
"910","MS","Lincoln",8,10,11,11,7,NA
"911","MS","Lowndes",20,21,19,72,25,NA
"912","MS","Madison",1,6,2,5,1,NA
"913","MS","Monroe",3,1,2,15,1,NA
"914","MS","Oktibbeha",1,1,1,16,1,NA
"915","MS","Panola",8,32,7,11,9,NA
"916","MS","Pearl River",3,3,3,3,3,NA
"917","MS","Pike",2,2,2,2,2,NA
"918","MS","Pontotoc",1,NA,NA,NA,NA,NA
"919","MS","Prentiss",2,1,2,7,6,NA
"920","MS","Rankin",181,10,171,212,38,3
"921","MS","Simpson",3,8,4,7,4,NA
"922","MS","Stone",1,5,3,9,8,NA
"923","MS","Tippah",1,1,NA,NA,NA,NA
"924","MS","Tishomingo",2,NA,NA,6,2,NA
"925","MS","Warren",2,9,5,10,2,NA
"926","MS","Wayne",42,42,42,42,42,NA
"927","MS","Yalobusha",1,1,1,1,1,NA
"928","MT","Beaverhead",3,NA,NA,9,1,NA
"929","MT","Carbon",1,1,NA,1,1,NA
"930","MT","Cascade",2,2,2,2,2,NA
"931","MT","Custer",2,9,1,14,5,NA
"932","MT","Dawson",22,1,1,42,22,NA
"933","MT","Fergus",10,1,1,29,10,NA
"934","MT","Flathead",24,10,2,31,10,NA
"935","MT","Gallatin",8,4,NA,10,9,NA
"936","MT","Glacier",23,17,26,27,15,NA
"937","MT","Lake",24,32,11,43,18,NA
"938","MT","Lewis and Clark",1,7,NA,21,18,NA
"939","MT","Missoula",17,1,1,20,17,NA
"940","MT","Park",10,1,1,13,18,NA
"941","MT","Phillips",1,NA,1,NA,NA,NA
"942","MT","Ravalli",9,3,1,17,4,NA
"943","MT","Roosevelt",1,1,3,1,1,NA
"944","MT","Sanders",1,1,1,1,1,NA
"945","MT","Sheridan",1,NA,NA,NA,NA,NA
"946","MT","Silver Bow",4,2,1,9,7,NA
"947","MT","Yellowstone",65,10,8,69,64,NA
"948","NC","Alamance",12,1,NA,64,29,NA
"949","NC","Alexander",15,3,6,25,16,NA
"950","NC","Alleghany",20,NA,NA,21,20,NA
"951","NC","Bertie",17,4,4,32,30,NA
"952","NC","Bladen",17,6,6,27,28,NA
"953","NC","Brunswick",15,2,1,38,27,NA
"954","NC","Buncombe",23,8,9,112,40,NA
"955","NC","Burke",42,57,35,54,46,NA
"956","NC","Cabarrus",9,3,25,16,4,NA
"957","NC","Caldwell",9,9,10,22,7,NA
"958","NC","Carteret",41,42,42,46,41,NA
"959","NC","Caswell",3,3,3,3,3,NA
"960","NC","Catawba",39,6,6,65,10,NA
"961","NC","Chatham",20,NA,1,35,20,NA
"962","NC","Chowan",1,1,1,5,1,NA
"963","NC","Clay",3,1,3,31,1,NA
"964","NC","Cleveland",10,3,1,65,1,NA
"965","NC","Columbus",27,9,12,54,53,NA
"966","NC","Cumberland",68,47,47,129,110,NA
"967","NC","Davidson",29,32,33,86,41,NA
"968","NC","Davie",15,7,5,59,28,NA
"969","NC","Duplin",7,7,7,7,7,NA
"970","NC","Durham",24,7,8,51,46,NA
"971","NC","Edgecombe",4,3,3,7,4,NA
"972","NC","Forsyth",40,9,4,156,76,NA
"973","NC","Franklin",16,8,7,39,28,NA
"974","NC","Gaston",61,25,22,91,73,NA
"975","NC","Gates",2,1,1,2,1,NA
"976","NC","Greene",1,1,1,6,1,NA
"977","NC","Guilford",48,24,25,121,66,NA
"978","NC","Halifax",14,8,8,29,28,NA
"979","NC","Harnett",2,2,2,13,2,NA
"980","NC","Haywood",6,3,3,17,5,NA
"981","NC","Henderson",8,8,7,20,8,NA
"982","NC","Hyde",15,4,NA,29,28,NA
"983","NC","Iredell",8,9,10,10,15,NA
"984","NC","Johnston",16,4,5,47,30,NA
"985","NC","Lee",28,10,9,63,55,NA
"986","NC","Lenoir",2,3,6,5,3,NA
"987","NC","Lincoln",3,3,3,3,3,NA
"988","NC","McDowell",1,NA,NA,13,17,NA
"989","NC","Mecklenburg",76,38,29,260,84,NA
"990","NC","Mitchell",3,3,3,3,3,NA
"991","NC","Moore",31,8,11,76,56,NA
"992","NC","Nash",1,1,1,19,2,NA
"993","NC","New Hanover",47,27,17,80,69,NA
"994","NC","Northampton",1,1,1,15,1,NA
"995","NC","Orange",1,1,1,18,1,NA
"996","NC","Pasquotank",2,12,1,1,NA,NA
"997","NC","Pender",42,41,42,47,42,NA
"998","NC","Perquimans",3,3,3,3,3,NA
"999","NC","Person",15,4,3,28,25,NA
"1000","NC","Pitt",3,3,3,7,3,NA
"1001","NC","Randolph",23,4,4,59,23,NA
"1002","NC","Richmond",2,NA,NA,5,NA,NA
"1003","NC","Robeson",78,67,64,90,72,NA
"1004","NC","Rockingham",3,4,3,23,3,NA
"1005","NC","Rowan",81,29,40,131,84,NA
"1006","NC","Rutherford",2,1,1,25,NA,NA
"1007","NC","Sampson",25,4,NA,56,54,NA
"1008","NC","Scotland",42,42,42,42,42,NA
"1009","NC","Surry",3,8,3,28,20,NA
"1010","NC","Union",8,6,6,56,25,NA
"1011","NC","Vance",1,1,1,14,2,NA
"1012","NC","Wake",21,13,8,106,41,NA
"1013","NC","Warren",14,1,NA,29,28,NA
"1014","NC","Watauga",13,1,NA,36,28,NA
"1015","NC","Wayne",23,5,4,44,24,NA
"1016","NC","Wilkes",3,1,1,4,1,NA
"1017","NC","Wilson",4,4,4,8,4,NA
"1018","NC","Yadkin",15,3,5,28,27,NA
"1019","ND","Cass",43,43,44,43,43,NA
"1020","ND","Dickey",3,3,2,2,9,NA
"1021","ND","Dunn",1,NA,NA,17,NA,NA
"1022","ND","Emmons",1,NA,NA,NA,NA,NA
"1023","ND","Foster",6,8,10,7,7,NA
"1024","ND","Grand Forks",1,5,1,1,1,NA
"1025","ND","Griggs",2,NA,NA,1,2,NA
"1026","ND","Hettinger",21,13,13,29,13,NA
"1027","ND","McHenry",1,1,1,1,1,NA
"1028","ND","McIntosh",1,5,1,1,2,NA
"1029","ND","Morton",10,3,8,13,13,NA
"1030","ND","Nelson",14,2,1,16,1,NA
"1031","ND","Renville",1,1,1,3,1,NA
"1032","ND","Richland",25,NA,NA,25,25,NA
"1033","ND","Stark",3,6,2,6,5,NA
"1034","ND","Stutsman",2,NA,NA,1,1,NA
"1035","ND","Towner",12,5,2,23,23,NA
"1036","ND","Traill",2,1,1,1,1,NA
"1037","ND","Walsh",1,1,3,5,37,NA
"1038","ND","Ward",33,5,3,45,26,NA
"1039","ND","Wells",5,1,1,1,6,NA
"1040","NE","Antelope",1,1,1,1,1,NA
"1041","NE","Boone",7,17,1,51,19,NA
"1042","NE","Box Butte",1,6,2,9,3,NA
"1043","NE","Boyd",1,NA,NA,7,NA,NA
"1044","NE","Buffalo",2,2,4,41,2,NA
"1045","NE","Butler",7,17,1,11,1,NA
"1046","NE","Cass",1,2,NA,NA,NA,NA
"1047","NE","Cedar",6,13,2,7,7,NA
"1048","NE","Chase",1,13,2,4,1,NA
"1049","NE","Cherry",27,26,25,26,26,NA
"1050","NE","Cheyenne",1,2,1,33,33,NA
"1051","NE","Clay",8,NA,1,8,NA,NA
"1052","NE","Cuming",8,16,7,12,10,NA
"1053","NE","Custer",10,7,NA,10,14,NA
"1054","NE","Dakota",4,3,NA,10,NA,NA
"1055","NE","Dawes",2,8,2,24,7,NA
"1056","NE","Dawson",3,8,NA,9,7,NA
"1057","NE","Dixon",3,4,4,6,6,NA
"1058","NE","Dodge",5,46,2,32,2,NA
"1059","NE","Douglas",24,19,9,131,23,1
"1060","NE","Dundy",3,3,3,3,3,NA
"1061","NE","Furnas",1,1,NA,5,NA,NA
"1062","NE","Gage",1,9,4,22,1,NA
"1063","NE","Garfield",1,1,1,1,1,NA
"1064","NE","Hall",7,6,2,14,8,NA
"1065","NE","Harlan",5,NA,1,2,2,NA
"1066","NE","Hooker",19,NA,NA,NA,NA,NA
"1067","NE","Jefferson",1,1,1,6,1,NA
"1068","NE","Johnson",1,3,1,2,2,NA
"1069","NE","Kearney",1,1,1,1,1,NA
"1070","NE","Keith",32,32,32,33,33,NA
"1071","NE","Kimball",3,NA,NA,4,NA,NA
"1072","NE","Lancaster",20,8,10,99,10,NA
"1073","NE","Lincoln",3,2,2,11,2,NA
"1074","NE","Madison",16,6,NA,79,18,NA
"1075","NE","Perkins",8,3,1,11,14,NA
"1076","NE","Phelps",2,1,1,1,5,NA
"1077","NE","Pierce",1,5,NA,11,NA,NA
"1078","NE","Platte",1,7,NA,36,1,NA
"1079","NE","Richardson",2,3,1,10,7,NA
"1080","NE","Saline",1,1,1,1,1,NA
"1081","NE","Sarpy",25,4,NA,118,NA,NA
"1082","NE","Saunders",1,1,1,5,1,NA
"1083","NE","Scotts Bluff",2,3,1,11,1,NA
"1084","NE","Sheridan",3,16,2,3,1,NA
"1085","NE","Sherman",1,1,1,1,1,NA
"1086","NE","Thayer",4,31,2,8,5,NA
"1087","NE","Thurston",1,NA,NA,NA,1,NA
"1088","NH","Belknap",20,NA,1,29,20,NA
"1089","NH","Carroll",49,1,1,60,40,NA
"1090","NH","Cheshire",80,8,23,95,80,NA
"1091","NH","Coos",21,NA,1,62,20,NA
"1092","NH","Grafton",82,NA,NA,49,82,NA
"1093","NH","Hillsboro",162,23,31,230,162,NA
"1094","NH","Merrimack",98,31,2,124,70,NA
"1095","NH","Rockingham",75,14,11,125,71,NA
"1096","NH","Strafford",59,1,NA,83,60,NA
"1097","NH","Sullivan",21,2,NA,40,20,NA
"1098","NJ","Atlantic",1,1,5,39,4,NA
"1099","NJ","Bergen",74,10,10,121,69,1
"1100","NJ","Burlington",62,NA,7,119,60,NA
"1101","NJ","Camden",61,2,4,77,61,NA
"1102","NJ","Cape May",71,2,20,111,62,NA
