"","Provider.State","County","Number_of_Available_Beds_by_County","Number.of.Ventilators.in.Facility_1","Number.of.Ventilators.in.Use.for.COVID.19_1","Ratio_of_available_vt"
"2213","SD","Clark",268,NA,NA,NA
"2214","SD","Clay",587,NA,NA,NA
"2215","SD","Codington",2373,NA,NA,NA
"2216","SD","Custer",795,NA,NA,NA
"2217","SD","Davison",2320,NA,NA,NA
"2218","SD","Day",588,NA,NA,NA
"2219","SD","Deuel",237,NA,NA,NA
"2220","SD","Dewey",53,NA,NA,NA
"2221","SD","Douglas",966,NA,NA,NA
"2222","SD","Edmunds",614,NA,NA,NA
"2223","SD","Fall River",197,NA,NA,NA
"2224","SD","Faulk",215,NA,NA,NA
"2225","SD","Grant",1097,NA,NA,NA
"2226","SD","Gregory",561,NA,NA,NA
"2227","SD","Haakon",114,NA,NA,NA
"2228","SD","Hamlin",1603,NA,NA,NA
"2229","SD","Hand",485,NA,NA,NA
"2230","SD","Hughes",1356,NA,NA,NA
"2231","SD","Hutchinson",1107,NA,NA,NA
"2232","SD","Hyde",119,NA,NA,NA
"2233","SD","Jackson",211,NA,NA,NA
"2234","SD","Jerauld",543,NA,NA,NA
"2235","SD","Kingsbury",1153,NA,NA,NA
"2236","SD","Lake",88,NA,NA,NA
"2237","SD","Lawrence",1355,NA,NA,NA
"2238","SD","Lincoln",987,NA,NA,NA
"2239","SD","Marshall",284,NA,NA,NA
"2240","SD","McCook",1961,NA,NA,NA
"2241","SD","McPherson",127,NA,NA,NA
"2242","SD","Meade",971,NA,NA,NA
"2243","SD","Mellette",846,NA,NA,NA
"2244","SD","Miner",493,NA,NA,NA
"2245","SD","Minnehaha",8683,221,156,0.706
"2246","SD","Moody",907,NA,NA,NA
"2247","SD","Pennington",5754,NA,NA,NA
"2248","SD","Perkins",190,NA,NA,NA
"2249","SD","Potter",642,NA,NA,NA
"2250","SD","Roberts",1183,NA,NA,NA
"2251","SD","Sanborn",602,NA,NA,NA
"2252","SD","Spink",849,NA,NA,NA
"2253","SD","Tripp",1795,NA,NA,NA
"2254","SD","Turner",1764,NA,NA,NA
"2255","SD","Union",1889,NA,NA,NA
"2256","SD","Walworth",342,NA,NA,NA
"2257","SD","Yankton",1736,NA,NA,NA
"2258","TN","Anderson",8473,NA,NA,NA
"2259","TN","Bedford",3532,NA,NA,NA
"2260","TN","Benton",3153,NA,NA,NA
"2261","TN","Bledsoe",534,NA,NA,NA
"2262","TN","Blount",9264,NA,NA,NA
"2263","TN","Bradley",6746,NA,NA,NA
"2264","TN","Campbell",3353,NA,NA,NA
"2265","TN","Cannon",2012,NA,NA,NA
"2266","TN","Carroll",7487,NA,NA,NA
"2267","TN","Carter",8791,NA,NA,NA
"2268","TN","Cheatham",2145,NA,NA,NA
"2269","TN","Chester",1816,NA,NA,NA
"2270","TN","Claiborne",4633,NA,NA,NA
"2271","TN","Clay",1146,NA,NA,NA
"2272","TN","Cocke",3851,NA,NA,NA
"2273","TN","Coffee",7188,NA,NA,NA
"2274","TN","Crockett",3782,NA,NA,NA
"2275","TN","Cumberland",6477,293,0,0
"2276","TN","Davidson",43611,2556,1150,0.45
"2277","TN","Decatur",3592,NA,NA,NA
"2278","TN","DeKalb",898,NA,NA,NA
"2279","TN","Dickson",1613,NA,NA,NA
"2280","TN","Dyer",3543,NA,NA,NA
"2281","TN","Fayette",1405,NA,NA,NA
"2282","TN","Fentress",2207,NA,NA,NA
"2283","TN","Franklin",4887,NA,NA,NA
"2284","TN","Gibson",11827,NA,NA,NA
"2285","TN","Giles",3642,NA,NA,NA
"2286","TN","Grainger",1486,NA,NA,NA
"2287","TN","Greene",7598,NA,NA,NA
"2288","TN","Grundy",3103,NA,NA,NA
"2289","TN","Hamblen",4126,NA,NA,NA
"2290","TN","Hamilton",25376,1492,42,0.028
"2291","TN","Hancock",812,NA,NA,NA
"2292","TN","Hardeman",1211,NA,NA,NA
"2293","TN","Hardin",3657,NA,NA,NA
"2294","TN","Hawkins",4555,NA,NA,NA
"2295","TN","Haywood",1902,NA,NA,NA
"2296","TN","Henderson",2680,NA,NA,NA
"2297","TN","Henry",4462,NA,NA,NA
"2298","TN","Hickman",3924,NA,NA,NA
"2299","TN","Houston",2097,NA,NA,NA
"2300","TN","Humphreys",3098,NA,NA,NA
"2301","TN","Jackson",1607,NA,NA,NA
"2302","TN","Jefferson",5452,NA,NA,NA
"2303","TN","Johnson",1576,NA,NA,NA
"2304","TN","Knox",24825,577,0,0
"2305","TN","Lake",4287,NA,NA,NA
"2306","TN","Lauderdale",5480,NA,NA,NA
"2307","TN","Lawrence",5163,NA,NA,NA
"2308","TN","Lewis",1763,NA,NA,NA
"2309","TN","Lincoln",4292,NA,NA,NA
"2310","TN","Loudon",2131,NA,NA,NA
"2311","TN","Macon",2769,NA,NA,NA
"2312","TN","Madison",9368,NA,NA,NA
"2313","TN","Marion",3283,NA,NA,NA
"2314","TN","Marshall",1105,NA,NA,NA
"2315","TN","Maury",9614,NA,NA,NA
"2316","TN","McMinn",6398,NA,NA,NA
"2317","TN","McNairy",3511,NA,NA,NA
"2318","TN","Meigs",2026,NA,NA,NA
"2319","TN","Monroe",3435,NA,NA,NA
"2320","TN","Montgomery",7447,NA,NA,NA
"2321","TN","Moore",1566,NA,NA,NA
"2322","TN","Morgan",2499,NA,NA,NA
"2323","TN","Obion",4795,NA,NA,NA
"2324","TN","Overton",2402,NA,NA,NA
"2325","TN","Perry",1413,NA,NA,NA
"2326","TN","Pickett",993,NA,NA,NA
"2327","TN","Polk",2033,NA,NA,NA
"2328","TN","Putnam",6488,NA,NA,NA
"2329","TN","Rhea",4407,NA,NA,NA
"2330","TN","Roane",10101,NA,NA,NA
"2331","TN","Robertson",4283,NA,NA,NA
"2332","TN","Rutherford",8576,NA,NA,NA
"2333","TN","Scott",1772,NA,NA,NA
"2334","TN","Sequatchie",1215,NA,NA,NA
"2335","TN","Sevier",4935,NA,NA,NA
"2336","TN","Shelby",42740,1677,0,0
"2337","TN","Smith",1533,NA,NA,NA
"2338","TN","Stewart",1439,NA,NA,NA
"2339","TN","Sullivan",19449,2098,511,0.244
"2340","TN","Sumner",9508,NA,NA,NA
"2341","TN","Tipton",3549,NA,NA,NA
"2342","TN","Trousdale",932,NA,NA,NA
"2343","TN","Unicoi",4259,NA,NA,NA
"2344","TN","Union",670,NA,NA,NA
"2345","TN","Van Buren",82,NA,NA,NA
"2346","TN","Warren",3919,NA,NA,NA
"2347","TN","Washington",11052,NA,NA,NA
"2348","TN","Wayne",1432,NA,NA,NA
"2349","TN","Weakley",7228,NA,NA,NA
"2350","TN","White",1910,NA,NA,NA
"2351","TN","Williamson",7522,NA,NA,NA
"2352","TN","Wilson",4667,NA,NA,NA
"2353","TX","Anderson",14068,NA,NA,NA
"2354","TX","Andrews",1441,NA,NA,NA
"2355","TX","Angelina",18680,NA,NA,NA
"2356","TX","Aransas",3395,NA,NA,NA
"2357","TX","Archer",160,NA,NA,NA
"2358","TX","Armstrong",1248,NA,NA,NA
"2359","TX","Atascosa",4902,NA,NA,NA
"2360","TX","Austin",6550,NA,NA,NA
"2361","TX","Bailey",1768,NA,NA,NA
"2362","TX","Bandera",3634,NA,NA,NA
"2363","TX","Bastrop",5904,NA,NA,NA
"2364","TX","Baylor",2133,NA,NA,NA
"2365","TX","Bee",4201,NA,NA,NA
"2366","TX","Bell",27726,946,339,0.358
"2367","TX","Bexar",149081,4204,1486,0.353
"2368","TX","Blanco",331,NA,NA,NA
"2369","TX","Bosque",6114,NA,NA,NA
"2370","TX","Bowie",13881,NA,NA,NA
"2371","TX","Brazoria",25864,312,0,0
"2372","TX","Brazos",9721,NA,NA,NA
"2373","TX","Brooks",332,NA,NA,NA
"2374","TX","Brown",13926,NA,NA,NA
"2375","TX","Burleson",3691,NA,NA,NA
"2376","TX","Burnet",5764,NA,NA,NA
"2377","TX","Caldwell",5192,NA,NA,NA
"2378","TX","Calhoun",4357,NA,NA,NA
"2379","TX","Callahan",2365,NA,NA,NA
"2380","TX","Cameron",22473,1036,165,0.159
"2381","TX","Camp",2406,NA,NA,NA
"2382","TX","Cass",9401,NA,NA,NA
"2383","TX","Castro",3916,NA,NA,NA
"2384","TX","Chambers",4815,NA,NA,NA
"2385","TX","Cherokee",12136,NA,NA,NA
"2386","TX","Childress",3242,NA,NA,NA
"2387","TX","Clay",1042,NA,NA,NA
"2388","TX","Coke",1186,NA,NA,NA
"2389","TX","Coleman",3217,NA,NA,NA
"2390","TX","Collin",42380,NA,NA,NA
"2391","TX","Collingsworth",1487,NA,NA,NA
"2392","TX","Colorado",7907,NA,NA,NA
"2393","TX","Comal",11169,NA,NA,NA
"2394","TX","Comanche",6430,NA,NA,NA
"2395","TX","Concho",1568,NA,NA,NA
"2396","TX","Cooke",7232,NA,NA,NA
"2397","TX","Coryell",5372,NA,NA,NA
"2398","TX","Crane",1051,NA,NA,NA
"2399","TX","Crockett",1317,NA,NA,NA
"2400","TX","Crosby",2086,NA,NA,NA
"2401","TX","Dallam",237,NA,NA,NA
"2402","TX","Dallas",216126,731,11,0.015
"2403","TX","Dawson",1976,NA,NA,NA
"2404","TX","Deaf Smith",2638,NA,NA,NA
"2405","TX","Delta",2104,NA,NA,NA
"2406","TX","Denton",36639,NA,NA,NA
"2407","TX","DeWitt",8184,NA,NA,NA
"2408","TX","Dimmit",920,NA,NA,NA
"2409","TX","Donley",343,NA,NA,NA
"2410","TX","Duval",1695,NA,NA,NA
"2411","TX","Eastland",7563,NA,NA,NA
"2412","TX","Ector",10715,NA,NA,NA
"2413","TX","El Paso",39726,946,4,0.004
"2414","TX","Ellis",17416,NA,NA,NA
"2415","TX","Erath",3013,NA,NA,NA
"2416","TX","Falls",5551,NA,NA,NA
"2417","TX","Fannin",11600,NA,NA,NA
"2418","TX","Fayette",9356,NA,NA,NA
"2419","TX","Floyd",1388,NA,NA,NA
"2420","TX","Foard",1822,NA,NA,NA
"2421","TX","Fort Bend",25256,3063,2214,0.723
"2422","TX","Franklin",2756,NA,NA,NA
"2423","TX","Freestone",5799,NA,NA,NA
"2424","TX","Frio",1162,NA,NA,NA
"2425","TX","Gaines",2013,NA,NA,NA
"2426","TX","Galveston",26444,60,45,0.75
"2427","TX","Garza",1496,NA,NA,NA
"2428","TX","Gillespie",8024,NA,NA,NA
"2429","TX","Goliad",2254,NA,NA,NA
"2430","TX","Gonzales",3140,NA,NA,NA
"2431","TX","Gray",6403,NA,NA,NA
"2432","TX","Grayson",26310,37,0,0
"2433","TX","Gregg",23942,1409,124,0.088
"2434","TX","Grimes",7316,NA,NA,NA
"2435","TX","Guadalupe",12072,NA,NA,NA
"2436","TX","Hale",3286,NA,NA,NA
"2437","TX","Hall",1504,NA,NA,NA
"2438","TX","Hamilton",5614,NA,NA,NA
"2439","TX","Hansford",1391,NA,NA,NA
"2440","TX","Hardin",5633,NA,NA,NA
"2441","TX","Harris",211249,554,367,0.662
"2442","TX","Harrison",9568,NA,NA,NA
"2443","TX","Haskell",1101,NA,NA,NA
"2444","TX","Hays",12041,NA,NA,NA
"2445","TX","Hemphill",1125,NA,NA,NA
"2446","TX","Henderson",11261,NA,NA,NA
"2447","TX","Hidalgo",38627,290,111,0.383
"2448","TX","Hill",7090,NA,NA,NA
"2449","TX","Hockley",4362,NA,NA,NA
"2450","TX","Hood",9212,NA,NA,NA
"2451","TX","Hopkins",10716,NA,NA,NA
"2452","TX","Houston",6269,NA,NA,NA
"2453","TX","Howard",7028,NA,NA,NA
"2454","TX","Hunt",10058,NA,NA,NA
"2455","TX","Hutchinson",5305,NA,NA,NA
"2456","TX","Jack",2914,NA,NA,NA
"2457","TX","Jackson",3787,NA,NA,NA
"2458","TX","Jasper",6409,NA,NA,NA
"2459","TX","Jefferson",32451,NA,NA,NA
"2460","TX","Jim Hogg",732,NA,NA,NA
"2461","TX","Jim Wells",8966,NA,NA,NA
"2462","TX","Johnson",16900,NA,NA,NA
"2463","TX","Jones",5142,NA,NA,NA
"2464","TX","Karnes",4841,NA,NA,NA
"2465","TX","Kaufman",16343,NA,NA,NA
"2466","TX","Kendall",7666,NA,NA,NA
"2467","TX","Kent",882,NA,NA,NA
"2468","TX","Kerr",13137,NA,NA,NA
"2469","TX","Kleberg",5308,NA,NA,NA
"2470","TX","Knox",2106,NA,NA,NA
"2471","TX","La Salle",463,NA,NA,NA
"2472","TX","Lamar",10688,NA,NA,NA
"2473","TX","Lamb",3123,NA,NA,NA
"2474","TX","Lampasas",6252,NA,NA,NA
"2475","TX","Lavaca",8559,NA,NA,NA
"2476","TX","Lee",4688,NA,NA,NA
"2477","TX","Leon",2098,NA,NA,NA
"2478","TX","Liberty",8471,NA,NA,NA
"2479","TX","Limestone",6051,NA,NA,NA
"2480","TX","Lipscomb",1303,NA,NA,NA
"2481","TX","Live Oak",1301,NA,NA,NA
"2482","TX","Llano",2982,NA,NA,NA
"2483","TX","Lubbock",32140,645,0,0
"2484","TX","Madison",4725,NA,NA,NA
"2485","TX","Marion",1995,NA,NA,NA
"2486","TX","Matagorda",6364,NA,NA,NA
"2487","TX","Maverick",3529,NA,NA,NA
"2488","TX","McCulloch",2792,NA,NA,NA
"2489","TX","McLennan",43256,NA,NA,NA
"2490","TX","Medina",5363,NA,NA,NA
"2491","TX","Menard",512,NA,NA,NA
"2492","TX","Midland",8314,NA,NA,NA
"2493","TX","Milam",5114,NA,NA,NA
"2494","TX","Mills",2711,NA,NA,NA
"2495","TX","Mitchell",1988,NA,NA,NA
"2496","TX","Montague",4094,NA,NA,NA
"2497","TX","Montgomery",30836,0,0,NA
"2498","TX","Moore",4197,NA,NA,NA
"2499","TX","Morris",3022,NA,NA,NA
"2500","TX","Motley",768,NA,NA,NA
"2501","TX","Nacogdoches",9221,NA,NA,NA
"2502","TX","Navarro",13000,NA,NA,NA
"2503","TX","Newton",929,NA,NA,NA
"2504","TX","Nolan",3231,NA,NA,NA
"2505","TX","Nueces",32187,1335,0,0
"2506","TX","Ochiltree",1374,NA,NA,NA
"2507","TX","Orange",7946,NA,NA,NA
"2508","TX","Palo Pinto",3162,NA,NA,NA
"2509","TX","Panola",6186,NA,NA,NA
"2510","TX","Parker",12294,NA,NA,NA
"2511","TX","Parmer",3245,NA,NA,NA
"2512","TX","Pecos",460,NA,NA,NA
"2513","TX","Polk",6651,NA,NA,NA
"2514","TX","Potter",18528,NA,NA,NA
"2515","TX","Rains",1140,NA,NA,NA
"2516","TX","Randall",5731,NA,NA,NA
"2517","TX","Reagan",515,NA,NA,NA
"2518","TX","Real",717,NA,NA,NA
"2519","TX","Red River",6690,NA,NA,NA
"2520","TX","Reeves",1472,NA,NA,NA
"2521","TX","Refugio",2011,NA,NA,NA
"2522","TX","Robertson",3814,NA,NA,NA
"2523","TX","Rockwall",14877,NA,NA,NA
"2524","TX","Runnels",7071,NA,NA,NA
"2525","TX","Rusk",7514,NA,NA,NA
"2526","TX","Sabine",2991,NA,NA,NA
"2527","TX","San Augustine",4148,504,276,0.548
"2528","TX","San Jacinto",2149,NA,NA,NA
"2529","TX","San Patricio",2715,NA,NA,NA
"2530","TX","San Saba",1382,NA,NA,NA
"2531","TX","Schleicher",357,NA,NA,NA
"2532","TX","Scurry",796,NA,NA,NA
"2533","TX","Shelby",5435,NA,NA,NA
"2534","TX","Sherman",911,NA,NA,NA
"2535","TX","Smith",29455,NA,NA,NA
"2536","TX","Somervell",4474,NA,NA,NA
"2537","TX","Starr",4365,NA,NA,NA
"2538","TX","Stephens",2349,NA,NA,NA
"2539","TX","Sterling",612,NA,NA,NA
"2540","TX","Stonewall",1102,NA,NA,NA
"2541","TX","Swisher",852,NA,NA,NA
"2542","TX","Tarrant",155513,NA,NA,NA
"2543","TX","Taylor",17513,NA,NA,NA
"2544","TX","Terry",1875,NA,NA,NA
"2545","TX","Titus",7652,NA,NA,NA
"2546","TX","Tom Green",13916,NA,NA,NA
"2547","TX","Travis",48411,NA,NA,NA
"2548","TX","Trinity",4184,NA,NA,NA
"2549","TX","Tyler",3043,NA,NA,NA
"2550","TX","Upshur",4766,NA,NA,NA
"2551","TX","Upton",326,NA,NA,NA
"2552","TX","Uvalde",8519,NA,NA,NA
"2553","TX","Val Verde",4786,NA,NA,NA
"2554","TX","Van Zandt",10865,NA,NA,NA
"2555","TX","Victoria",9105,NA,NA,NA
"2556","TX","Walker",4216,NA,NA,NA
"2557","TX","Waller",3335,NA,NA,NA
"2558","TX","Ward",1844,NA,NA,NA
"2559","TX","Washington",5681,NA,NA,NA
"2560","TX","Webb",15794,NA,NA,NA
"2561","TX","Wharton",7503,NA,NA,NA
"2562","TX","Wheeler",2465,NA,NA,NA
"2563","TX","Wichita",25572,444,127,0.286
"2564","TX","Wilbarger",4127,NA,NA,NA
"2565","TX","Willacy",2448,NA,NA,NA
"2566","TX","Williamson",31238,220,0,0
"2567","TX","Wilson",10081,0,0,NA
"2568","TX","Wise",8220,NA,NA,NA
"2569","TX","Wood",12237,NA,NA,NA
"2570","TX","Yoakum",679,NA,NA,NA
"2571","TX","Young",7475,1032,0,0
"2572","TX","Zapata",1103,NA,NA,NA
"2573","UT","Box Elder",3754,NA,NA,NA
"2574","UT","Cache",7414,NA,NA,NA
"2575","UT","Carbon",1489,NA,NA,NA
"2576","UT","Davis",9729,1506,0,0
"2577","UT","Duchesne",2260,NA,NA,NA
"2578","UT","Emery",979,NA,NA,NA
"2579","UT","Garfield",225,NA,NA,NA
"2580","UT","Grand",234,NA,NA,NA
"2581","UT","Iron",2318,NA,NA,NA
"2582","UT","Juab",2523,NA,NA,NA
"2583","UT","Millard",442,NA,NA,NA
"2584","UT","Salt Lake",31464,3016,94,0.031
"2585","UT","San Juan",2819,NA,NA,NA
"2586","UT","Sanpete",435,NA,NA,NA
"2587","UT","Sevier",1565,NA,NA,NA
"2588","UT","Tooele",942,NA,NA,NA
"2589","UT","Uintah",2946,NA,NA,NA
"2590","UT","Utah",13810,516,0,0
"2591","UT","Wasatch",967,NA,NA,NA
"2592","UT","Washington",10520,84,0,0
"2593","UT","Weber",18421,1075,4,0.004
"2594","VA","Accomack",1200,NA,NA,NA
"2595","VA","Albermarle",5447,NA,NA,NA
"2596","VA","Alexandria City",4651,1505,4,0.003
"2597","VA","Alleghany",1897,NA,NA,NA
"2598","VA","Amelia",877,NA,NA,NA
"2599","VA","Amherst",1037,NA,NA,NA
"2600","VA","Appomattox",383,NA,NA,NA
"2601","VA","Arlington",8620,NA,NA,NA
"2602","VA","Augusta",356,NA,NA,NA
"2603","VA","Bath",357,NA,NA,NA
"2604","VA","Bedford City",2570,NA,NA,NA
"2605","VA","Bland",485,876,303,0.346
"2606","VA","Botetourt",1222,480,22,0.046
"2607","VA","Bristol City",1696,NA,NA,NA
"2608","VA","Brunswick",414,NA,NA,NA
"2609","VA","Buchanan",691,NA,NA,NA
"2610","VA","Buckingham",237,NA,NA,NA
"2611","VA","Buena Vista City",1252,NA,NA,NA
"2612","VA","Campbell",556,NA,NA,NA
"2613","VA","Caroline",718,NA,NA,NA
"2614","VA","Carroll",849,NA,NA,NA
"2615","VA","Charlotte",1688,NA,NA,NA
"2616","VA","Charlottesville City",694,NA,NA,NA
"2617","VA","Chesapeake City",5674,NA,NA,NA
"2618","VA","Chesterfield",5824,NA,NA,NA
"2619","VA","Clarke",597,NA,NA,NA
"2620","VA","Colonial Heights City",1229,NA,NA,NA
"2621","VA","Culpeper",1117,NA,NA,NA
"2622","VA","Danville City",7836,NA,NA,NA
"2623","VA","Dickenson",852,NA,NA,NA
"2624","VA","Emporia City",2021,NA,NA,NA
"2625","VA","Essex",395,NA,NA,NA
"2626","VA","Fairfax",17321,2,0,0
"2627","VA","Fairfax City",2934,NA,NA,NA
"2628","VA","Fauquier",2235,NA,NA,NA
"2629","VA","Floyd",656,NA,NA,NA
"2630","VA","Fluvanna",322,NA,NA,NA
"2631","VA","Franklin",3936,NA,NA,NA
"2632","VA","Franklin City",2094,NA,NA,NA
"2633","VA","Frederick",883,NA,NA,NA
"2634","VA","Galax City",4017,NA,NA,NA
"2635","VA","Giles",702,NA,NA,NA
"2636","VA","Gloucester",2726,NA,NA,NA
"2637","VA","Goochland",2705,NA,NA,NA
"2638","VA","Grayson",1112,NA,NA,NA
"2639","VA","Greene",870,NA,NA,NA
"2640","VA","Halifax",4235,NA,NA,NA
"2641","VA","Hampton City",6257,NA,NA,NA
"2642","VA","Hanover",6247,NA,NA,NA
"2643","VA","Harrisonburg City",3393,NA,NA,NA
"2644","VA","Henrico",16774,NA,NA,NA
"2645","VA","Henry",1915,NA,NA,NA
"2646","VA","Hopewell City",1977,NA,NA,NA
"2647","VA","Isle of Wight",1071,NA,NA,NA
"2648","VA","James City",3695,NA,NA,NA
"2649","VA","King George",1455,NA,NA,NA
"2650","VA","King William",229,NA,NA,NA
"2651","VA","Lancaster",2411,NA,NA,NA
"2652","VA","Lexington City",911,NA,NA,NA
"2653","VA","Loudoun",7277,NA,NA,NA
"2654","VA","Louisa",934,NA,NA,NA
"2655","VA","Lynchburg City",12721,NA,NA,NA
"2656","VA","Madison",669,NA,NA,NA
"2657","VA","Manassas City",3194,NA,NA,NA
"2658","VA","Martinsville City",7682,NA,NA,NA
"2659","VA","Mathews",259,NA,NA,NA
"2660","VA","Mecklenburg",6777,NA,NA,NA
"2661","VA","Middlesex",1115,NA,NA,NA
"2662","VA","Montgomery",3237,NA,NA,NA
"2663","VA","Newport News City",6557,NA,NA,NA
"2664","VA","Norfolk City",13588,602,0,0
"2665","VA","Northampton",2344,NA,NA,NA
"2666","VA","Nottoway",2022,NA,NA,NA
"2667","VA","Orange",1493,NA,NA,NA
"2668","VA","Page",877,NA,NA,NA
"2669","VA","Patrick",1643,NA,NA,NA
"2670","VA","Petersburg City",3117,NA,NA,NA
"2671","VA","Pittsylvania",1361,NA,NA,NA
"2672","VA","Poquoson",466,NA,NA,NA
"2673","VA","Portsmouth City",3856,NA,NA,NA
"2674","VA","Prince Edward",1985,NA,NA,NA
"2675","VA","Prince William",4712,NA,NA,NA
"2676","VA","Pulaski",2417,NA,NA,NA
"2677","VA","Radford City",791,NA,NA,NA
"2678","VA","Richmond",499,NA,NA,NA
"2679","VA","Richmond City",9206,1080,686,0.635
"2680","VA","Roanoke",2875,NA,NA,NA
"2681","VA","Roanoke City",12007,1033,10,0.01
"2682","VA","Rockingham",1302,NA,NA,NA
"2683","VA","Russell",455,NA,NA,NA
"2684","VA","Salem City",7753,NA,NA,NA
"2685","VA","Scott",1705,221,0,0
"2686","VA","Shenandoah",2884,NA,NA,NA
"2687","VA","Smyth",3253,NA,NA,NA
"2688","VA","Southampton",1417,NA,NA,NA
"2689","VA","Spotsylvania",4177,NA,NA,NA
"2690","VA","Stafford",1868,NA,NA,NA
"2691","VA","Staunton City",2487,NA,NA,NA
"2692","VA","Suffolk City",6959,NA,NA,NA
"2693","VA","Sussex",2040,NA,NA,NA
"2694","VA","Tazewell",3568,NA,NA,NA
"2695","VA","Virginia Beach City",16152,NA,NA,NA
"2696","VA","Warren",1309,NA,NA,NA
"2697","VA","Washington",2903,NA,NA,NA
"2698","VA","Waynesboro City",1273,NA,NA,NA
"2699","VA","Winchester City",2498,NA,NA,NA
"2700","VA","Wise",2550,NA,NA,NA
"2701","VA","Wythe",1301,NA,NA,NA
"2702","VA","York",1302,NA,NA,NA
"2703","VT","Addison",901,NA,NA,NA
"2704","VT","Bennington",5461,NA,NA,NA
"2705","VT","Caledonia",1906,NA,NA,NA
"2706","VT","Chittenden",7492,NA,NA,NA
"2707","VT","Franklin",2489,NA,NA,NA
"2708","VT","Lamoille",467,NA,NA,NA
"2709","VT","Orange",63,NA,NA,NA
"2710","VT","Orleans",2311,NA,NA,NA
"2711","VT","Rutland",4098,387,0,0
"2712","VT","Washington",4430,NA,NA,NA
"2713","VT","Windham",1205,NA,NA,NA
"2714","VT","Windsor",2143,NA,NA,NA
"2715","WA","Adams",681,NA,NA,NA
"2716","WA","Asotin",1267,NA,NA,NA
"2717","WA","Benton",4084,NA,NA,NA
"2718","WA","Chelan",3449,NA,NA,NA
"2719","WA","Clallam",1469,0,0,NA
"2720","WA","Clark",9703,1075,0,0
"2721","WA","Columbia",205,NA,NA,NA
"2722","WA","Cowlitz",4450,NA,NA,NA
"2723","WA","Franklin",2228,NA,NA,NA
"2724","WA","Grant",2799,NA,NA,NA
"2725","WA","Grays Harbor",4434,NA,NA,NA
"2726","WA","Island",3009,NA,NA,NA
"2727","WA","Jefferson",1230,NA,NA,NA
"2728","WA","King",65999,784,400,0.51
"2729","WA","Kitsap",10944,NA,NA,NA
"2730","WA","Kittitas",1117,0,0,NA
"2731","WA","Lewis",3809,NA,NA,NA
"2732","WA","Mason",1764,NA,NA,NA
"2733","WA","Okanogan",2190,NA,NA,NA
"2734","WA","Pacific",374,NA,NA,NA
"2735","WA","Pierce",32415,2959,41,0.014
"2736","WA","Skagit",7609,0,0,NA
"2737","WA","Snohomish",21290,1720,0,0
"2738","WA","Spokane",21162,589,2,0.003
"2739","WA","Stevens",1874,0,0,NA
"2740","WA","Thurston",9648,NA,NA,NA
"2741","WA","Walla Walla",4582,0,0,NA
"2742","WA","Whatcom",10507,0,0,NA
"2743","WA","Whitman",1234,NA,NA,NA
"2744","WA","Yakima",13578,NA,NA,NA
"2745","WI","Adams",1167,NA,NA,NA
"2746","WI","Ashland",5725,NA,NA,NA
"2747","WI","Barron",6566,NA,NA,NA
"2748","WI","Bayfield",1026,NA,NA,NA
"2749","WI","Brown",12387,NA,NA,NA
"2750","WI","Buffalo",476,NA,NA,NA
"2751","WI","Burnett",445,NA,NA,NA
"2752","WI","Calumet",2095,NA,NA,NA
"2753","WI","Chippewa",3063,828,0,0
"2754","WI","Clark",4467,NA,NA,NA
"2755","WI","Columbia",4812,NA,NA,NA
"2756","WI","Crawford",790,NA,NA,NA
"2757","WI","Dane",15862,440,2,0.005
"2758","WI","Dodge",13642,NA,NA,NA
"2759","WI","Door",3304,NA,NA,NA
"2760","WI","Douglas",4790,NA,NA,NA
"2761","WI","Dunn",1758,NA,NA,NA
"2762","WI","Eau Claire",4741,NA,NA,NA
"2763","WI","Florence",816,NA,NA,NA
"2764","WI","Fond du Lac",9363,NA,NA,NA
"2765","WI","Forest",546,NA,NA,NA
"2766","WI","Grant",9283,NA,NA,NA
"2767","WI","Green",3227,NA,NA,NA
"2768","WI","Green Lake",844,NA,NA,NA
"2769","WI","Iowa",1259,NA,NA,NA
"2770","WI","Iron",965,NA,NA,NA
"2771","WI","Jackson",2024,NA,NA,NA
"2772","WI","Jefferson",4556,NA,NA,NA
"2773","WI","Juneau",1150,NA,NA,NA
"2774","WI","Kenosha",14573,NA,NA,NA
"2775","WI","Kewaunee",1638,NA,NA,NA
"2776","WI","La Crosse",5807,NA,NA,NA
"2777","WI","Lafayette",806,NA,NA,NA
"2778","WI","Langlade",3400,NA,NA,NA
"2779","WI","Lincoln",5360,NA,NA,NA
"2780","WI","Manitowoc",7739,559,24,0.043
"2781","WI","Marathon",11553,752,0,0
"2782","WI","Marinette",5074,NA,NA,NA
"2783","WI","Marquette",768,NA,NA,NA
"2784","WI","Milwaukee",43007,3012,55,0.018
"2785","WI","Monroe",3290,NA,NA,NA
"2786","WI","Oconto",3267,NA,NA,NA
"2787","WI","Oneida",3039,NA,NA,NA
"2788","WI","Outagamie",9426,NA,NA,NA
"2789","WI","Ozaukee",5159,NA,NA,NA
"2790","WI","Pierce",3492,NA,NA,NA
"2791","WI","Polk",5468,NA,NA,NA
"2792","WI","Portage",2663,NA,NA,NA
"2793","WI","Price",2127,NA,NA,NA
"2794","WI","Racine",9136,NA,NA,NA
"2795","WI","Richland",962,NA,NA,NA
"2796","WI","Rock",12832,NA,NA,NA
"2797","WI","Rusk",1365,NA,NA,NA
